visual cubes paper lozenge paperrev flagssub general paragrap sentence wordc wordm add code counting straight wordr numberr figurer object numberf figurew
24 20 16 22 18 43 44 11 19 32 18 71 60 94 154 186 100 105 7 7 11
31 19 14 13 15 34 28 8 22 26 17 61 49 70 120 186 84 112 3 7 15
29 26 13 25 16 38 53 10 22 32 18 85 72 128 202 185 87 111 4 8 9
29 30 13 15 11 45 33 7 16 21 12 64 46 74 165 180 88 101 1 4 11
16 23 10 5 5 13 42 7 20 27 13 95 56 128 137 172 93 89 1 10 5
25 25 15 26 18 20 32 5 7 24 5 46 77 72 121 176 95 108 8 8 17
25 27 11 15 13 39 50 6 16 34 13 86 68 99 214 160 83 97 4 6 10
37 31 15 16 17 40 54 14 28 31 20 88 79 114 223 173 88 106 5 6 16
30 26 13 19 16 32 36 7 21 27 14 89 55 121 222 164 98 103 4 9 16
29 24 16 10 16 36 45 9 21 28 17 100 69 121 206 181 85 106 9 7 8
37 34 11 17 14 47 56 18 24 31 27 80 70 112 229 166 91 101 10 13 12
28 20 14 4 15 37 30 8 18 25 6 73 74 84 161 189 89 106 10 5 15
22 34 14 19 19 35 40 10 17 24 15 80 56 101 185 161 86 100 1 4 16
38 21 14 18 12 46 56 18 26 37 31 120 69 109 205 179 84 103 5 7 11
29 21 16 18 18 43 23 7 16 22 7 67 64 88 180 158 95 97 6 8 17
25 25 18 30 17 33 48 9 16 36 16 106 67 127 175 177 88 102 4 14 20
28 27 12 13 16 32 16 5 6 12 4 101 65 106 172 177 94 97 10 8 9
23 20 16 18 13 29 29 6 12 25 6 43 56 100 145 151 73 95 10 3 8
11 20 15 9 11 28 39 13 16 22 15 73 81 73 130 186 92 103 3 7 14
45 37 16 29 22 37 32 10 16 30 16 73 69 101 220 178 84 113 4 13 19
19 15 12 7 14 19 43 15 19 26 19 101 76 112 116 184 84 92 8 8 17
41 21 10 11 15 36 41 9 16 28 14 124 95 119 220 185 83 103 9 11 19
35 30 16 33 17 42 49 8 15 29 12 90 64 126 242 174 92 93 6 14 14
34 24 21 16 13 41 46 9 14 24 10 89 98 116 236 171 96 105 7 10 13
19 22 15 12 12 19 39 10 16 26 17 118 113 116 252 178 86 93 10 11 17
25 21 13 15 17 40 40 8 17 25 17 68 42 82 170 145 78 95 3 17 16
36 28 19 33 19 48 61 15 24 36 39 81 70 104 210 178 96 97 11 5 19
19 23 10 6 11 25 31 7 13 19 19 68 56 97 149 174 94 96 1 1 9
27 21 12 7 14 24 34 9 19 27 22 88 62 109 191 171 96 96 4 2 15
21 9 13 14 14 46 33 15 25 32 30 68 64 91 181 178 95 100 12 5 17
27 22 11 32 16 42 35 8 13 26 13 56 56 75 177 171 81 107 3 11 18
26 22 12 8 17 27 43 5 11 28 11 76 51 114 156 171 82 99 5 7 18
20 27 18 15 16 40 41 9 19 28 11 130 88 105 241 195 95 115 1 13 16
33 22 14 14 17 46 50 13 25 29 26 84 60 127 230 172 79 103 4 9 19
38 26 19 7 19 35 39 16 25 28 15 109 72 111 200 182 92 108 11 15 20
33 25 16 34 14 45 41 15 23 31 21 109 83 143 246 180 86 109 16 20 20
36 29 17 16 16 33 55 9 23 29 23 149 92 156 247 182 84 106 11 15 19
38 29 12 35 14 48 55 13 22 27 17 112 78 126 227 178 110 109 11 16 16
31 25 10 28 14 48 54 10 25 34 27 103 64 98 168 165 89 104 11 7 14
36 28 17 13 18 46 48 11 23 36 18 134 95 102 224 168 92 104 13 19 20
31 26 16 29 20 38 58 11 26 37 12 85 74 99 189 198 104 110 7 15 17
28 24 14 6 15 31 44 8 17 33 15 92 85 95 215 187 89 108 9 11 17
38 37 15 28 20 46 61 10 19 33 19 110 85 135 199 166 82 95 0 19 16
29 34 14 22 14 35 48 10 20 22 19 84 53 132 147 184 98 94 5 11 13
35 24 16 15 17 33 60 12 20 30 23 92 90 125 232 196 83 106 11 9 18
35 25 18 25 16 40 50 11 24 31 19 132 69 118 187 168 85 107 2 11 18
23 21 13 3 13 25 54 9 21 24 12 133 65 111 235 182 90 102 12 11 20
31 28 14 25 15 45 51 12 23 32 15 139 91 110 199 175 94 108 8 14 18
51 26 23 34 18 48 84 18 26 43 38 133 110 161 249 195 112 119 15 20 20
33 28 14 18 18 40 60 15 23 29 30 96 89 122 212 178 86 102 7 6 17
21 26 13 17 15 36 64 12 16 23 33 118 69 112 132 180 86 101 8 13 12
37 32 17 11 15 45 72 16 25 28 32 80 84 95 171 187 104 118 14 18 17
37 20 15 21 14 46 36 8 19 33 19 78 45 101 179 174 86 113 5 13 17
37 26 20 29 8 29 43 7 19 23 19 102 77 113 210 178 84 104 5 12 11
39 26 15 24 18 35 78 17 26 35 30 115 101 136 266 190 101 119 6 4 8
39 34 17 33 18 37 45 10 19 26 16 95 75 119 240 172 94 111 7 16 16
18 16 6 4 10 15 55 10 21 29 19 68 42 80 125 194 88 103 15 12 14
28 28 14 18 20 45 50 10 25 37 23 87 60 93 170 177 88 104 19 13 19
29 23 16 9 17 30 38 6 24 27 9 100 63 182 227 169 88 97 6 10 14
25 20 14 11 17 39 51 12 19 33 17 111 66 125 206 194 103 102 11 17 19
29 33 16 11 21 42 57 13 23 31 26 78 61 103 198 173 79 107 7 9 13
32 21 16 15 15 40 55 14 20 28 29 117 72 108 237 171 92 108 6 13 18
30 21 14 21 20 35 51 12 24 33 27 96 69 113 206 183 96 107 15 11 20
35 28 14 19 15 44 59 18 27 34 33 145 90 117 226 186 97 100 9 8 20
16 34 13 32 16 37 60 14 22 29 24 99 58 108 215 188 79 101 5 11 10
38 30 19 33 17 33 66 14 22 36 29 97 91 120 252 192 96 102 7 11 17
26 25 12 7 13 25 41 10 15 25 13 115 78 129 183 158 95 113 9 13 20
33 28 10 12 10 37 37 14 21 33 14 106 88 106 187 173 100 109 8 12 20
28 27 20 32 12 46 48 10 19 30 17 69 49 130 198 179 95 105 3 5 14
27 22 13 16 17 46 46 8 19 33 15 135 75 142 225 176 89 103 9 4 11
26 29 17 10 19 27 53 8 19 29 13 85 91 109 220 181 86 109 7 12 14
30 32 9 26 15 48 44 7 15 34 10 109 61 140 178 184 94 103 8 8 20
22 23 17 8 11 18 40 4 13 25 17 92 54 81 150 174 87 102 6 3 19
32 24 12 8 17 40 52 9 19 29 14 78 77 89 191 187 86 94 4 6 14
31 23 12 13 17 26 37 12 19 21 15 82 84 108 182 180 90 108 4 12 15
32 25 13 17 13 45 42 5 11 23 16 106 58 143 200 168 87 107 4 10 17
40 21 15 15 16 47 39 8 18 24 13 84 67 126 215 180 111 100 10 17 10
21 20 15 11 16 47 36 7 19 28 8 80 69 117 235 180 74 101 6 2 14
31 25 15 26 17 41 58 15 24 34 23 55 52 80 154 171 85 102 4 6 14
24 24 14 16 11 46 44 8 18 22 12 77 74 94 135 175 91 104 8 8 18
41 25 20 15 19 44 42 12 21 32 19 64 68 94 189 177 79 105 2 5 11
30 23 11 10 18 24 42 8 14 30 12 98 65 132 240 165 92 97 10 12 18
35 20 14 16 16 37 55 10 16 26 10 80 78 105 205 171 85 102 5 3 13
34 27 14 17 16 37 48 13 25 33 32 77 72 119 195 170 89 114 11 7 16
25 22 13 13 12 25 43 7 16 25 11 135 61 126 204 159 76 97 0 3 10
24 25 18 6 18 44 42 9 19 31 23 120 97 131 206 194 99 113 26 16 19
36 26 18 17 22 38 53 10 19 26 10 56 46 115 180 174 99 98 10 7 12
20 19 19 7 15 41 37 8 20 28 6 134 45 110 244 189 92 94 9 9 15
28 24 12 9 17 34 31 4 12 27 11 96 72 115 174 172 85 105 7 8 18
34 22 8 13 15 29 44 10 17 25 14 126 63 120 162 164 82 96 9 5 14
34 21 17 19 19 28 51 10 18 28 14 78 62 103 228 173 99 104 1 8 14
35 28 13 10 17 36 45 9 13 26 11 96 63 97 208 189 96 115 10 15 18
37 26 15 24 15 42 49 9 17 31 20 70 58 85 204 189 92 112 7 9 18
24 28 18 11 16 36 49 8 17 27 7 117 58 112 189 166 75 102 1 4 8
18 24 14 13 14 41 31 7 16 23 7 106 54 121 219 162 87 104 2 3 14
28 22 16 15 16 32 55 11 23 32 30 92 118 120 274 171 92 105 7 16 17
26 27 14 4 18 14 48 11 18 33 14 117 49 124 158 181 87 102 9 4 13
26 24 16 27 16 45 51 11 23 39 22 94 87 139 186 184 90 109 25 16 14
