y1 y2 y3 y4 y5 y6 y7 y8 y9
-0.864448 1.2882525 -1.305353 -1.352587 -1.262932 -0.534397 1.1884964 2.3477113 0.0852962
0.7156593 0.4572732 2.5436393 2.5439818 4.5396498 2.6423593 2.1957282 2.1095661 2.4743275
   0.6323 1.9035654 1.1641292 2.5441405 2.2965709  3.422973 1.5014092 1.6791978  1.792397
1.7748911 3.1515183 1.9145075 3.0795517 3.5080116 5.2434297 5.1750835 4.9467637 4.3972724
1.6675061 2.6380691  3.863242 1.7977772 0.1774701 1.6669694 2.0671339 2.2523697 2.1188324
 0.403424 0.6524537 -0.744456 -0.585324  0.939889 1.6334551 2.0320935  0.874274 2.8271826
-1.795624 -1.106164 1.0308433 -0.583706 2.6695131 -0.511899 -0.133766 -0.377659 -1.100793
3.0048935 3.0299434 3.0278773  0.786735 1.0561164 4.7823691 2.0497563 0.2335927 0.7673135
1.5857824 1.9498873 1.4116027 0.0876436 0.5131164 -0.726893 1.1102357 1.5662323 1.7782751
0.7933626 2.2492479 1.6671556 4.1962669 2.0047846  2.364234 2.5683747 1.2828698 1.5655543
1.6621368 -0.474194 -1.491131 -1.381193 -0.949967 -0.928039 -0.651486 0.3013633  1.849718
2.7669185 0.3220683 2.0392308 1.1610721 1.6137221 3.0067296 2.1577046 0.4891462 -1.547166
2.8121112 5.6622217 3.1540038 1.6921404 4.2106346 3.9535395 1.8092715 1.6714427 1.6307343
-1.407033 0.2903348  1.584911 1.3971065 -0.505884 -1.510332 1.2648838 -0.767648 1.1871707
2.0931737 -0.142034 0.1056812 -0.828837 -0.172173 0.2032224 0.7227947 0.8126327 1.4733796
0.6256726 2.3368125 0.0547442 4.2076357 4.1621041 1.2636163 1.6616998 3.0322809 4.0379978
1.1325392 -0.445603 0.8423884 0.7266109 -0.897629 0.1722239 -0.171192 -0.237254 0.9929083
3.1809842 -0.018322 1.1111097 2.6299531 2.9052129 1.4784051 2.8598016 3.5535292 1.6750992
4.2520952 3.8368617 3.9511968 0.8924933 2.8051016 3.2631418 3.1876996 4.5850817 3.8510191
1.2846944 1.5848396 -0.182128 0.4823171  1.121053 2.6695299 2.5946723 0.4421658 -2.541673
0.7413017 1.8474709 0.8199805 1.6866421 2.4231696 1.0050824 1.4837387 0.0219591 1.6842356
1.7376973 2.2000032  -0.00062  2.088108 0.8523555 1.7123883  2.096974 1.5452318 1.8597557
-0.537205 -2.009005 -1.148049 -0.601254 0.1906668 0.1410844 -1.389667 -0.253942 0.6412768
2.6041962 2.1446598 2.2154944 2.6581958 4.1013829 4.6307814  4.604011 2.7074306 4.1610934
1.6444395 -0.171174 0.9891749 -0.047758 0.0156049 1.4848264 1.2265892 0.8042584 2.6013462
0.5237468 3.0990247  1.461387 1.6493007 1.6389365 0.9551135 1.5255151 1.1879908 0.5218185
0.1704783  0.185368 -0.258453 -3.700802  -2.22593 0.2279585 1.3166898 -0.459967 -0.540071
 -0.71949 -0.593735 -1.495706 0.3164597 -0.604824 0.3233488 -0.247146 -2.385175 0.1741754
3.7919506  1.044535 5.1375498  0.219931 1.0223614 1.0110269 2.7596486 2.2075889 2.5099906
0.1573119 0.0378147 0.9413881 2.8856987 2.7940876 1.6761769 2.5088123 0.0345733 1.2880964
3.4110135 2.1986115 0.7972155 2.8257112 1.6087055 1.5655731 2.5636391 1.7449247  3.787959
4.6724862 4.2848752 3.6495896 1.0627891 4.0570233 3.5022856 2.3641916 4.0652718 3.4456892
1.3904038  1.704122 -0.226812 0.1972577 -0.328451 1.9399383  0.040527 1.6756378 -0.797734
0.9259069 1.7755241 1.3806138 -0.067805 1.3855953 1.9685532 0.9519364 2.5209448  1.639891
2.8867435 4.5637533 1.9930359 2.0974847 1.2129078 3.4262707 -0.176743 1.6860267  1.404464
1.6979904 1.3957255 2.4065668 0.6462596 2.2218437 -0.608357 2.4981926  1.146047 0.2593251
3.4716993 1.7832593 0.6766168 3.7097411 2.1464098 3.3802575 -0.910191 2.5393229 0.4178207
1.3499612 0.1222578 -0.766446 -0.645995 -0.035794 2.3528177 2.5199904 0.4563754 1.1739547
1.2497918 1.4177675 1.1797332 1.9411005 2.8527463  0.939435 -0.856976 1.3765797 0.1960495
-1.391044 -2.366748 -1.728239  -0.69698 1.2604351 -0.468194 -1.365452 -0.927328 -1.017788
0.7825295 0.9672288 2.1578796 1.9897136 1.9179666 -0.381825 1.9065773 0.6516436  -0.28583
