edu gender ws1 ls1 lt1
16 1 17 9 6
18 2 13 12 12
18 1 17 13 6
17 2 15 12 2
13 2 17 13 9
12 2 7 9 2
13 2 4 2 3
13 2 9 8 4
12 2 6 8 4
13 2 3 3 6
10 2 8 8 3
13 1 14 18 5
12 2 19 15 8
12 1 6 8 5
20 1 25 28 11
13 2 14 14 10
13 2 5 4 4
18 2 15 15 4
16 2 7 7 6
12 2 13 14 6
12 2 14 27 9
13 1 14 13 5
13 2 13 14 7
13 2 15 14 5
13 2 14 18 10
13 1 9 18 10
14 2 1 3 2
13 2 11 10 5
12 2 3 4 3
12 1 3 7 7
14 2 8 7 6
20 1 6 14 7
18 2 15 19 10
11 2 10 15 8
20 2 13 11 7
16 1 12 7 6
12 2 4 7 5
13 2 14 11 9
12 2 22 24 13
16 1 19 15 9
20 1 13 16 9
18 2 15 23 9
12 1 8 8 5
12 2 8 4 8
12 2 4 7 5
14 2 16 19 7
8 2 1 2 1
13 2 11 15 7
13 2 5 7 5
12 2 5 7 3
20 2 14 8 10
16 2 15 16 11
12 2 22 18 9
13 2 5 4 5
13 2 4 6 5
12 2 12 17 5
13 1 12 8 7
13 2 9 9 2
13 2 12 11 7
13 2 5 5 5
12 2 8 9 1
14 2 12 7 5
13 2 14 16 6
17 1 12 8 6
18 2 11 15 7
13 2 6 7 1
18 1 9 8 10
18 2 20 22 12
13 2 14 20 5
17 1 19 19 12
12 2 13 13 3
14 2 13 14 9
12 2 7 9 6
13 2 5 6 2
18 2 10 18 10
13 2 11 12 3
20 1 10 18 7
13 2 14 18 11
17 2 11 16 5
16 1 11 12 9
18 2 11 21 12
13 1 7 7 5
12 2 16 15 9
16 2 9 4 5
11 1 10 10 5
18 1 10 12 8
12 2 12 15 10
12 2 11 16 5
12 2 13 13 10
13 2 9 6 3
17 2 8 11 5
12 2 7 4 4
12 2 10 11 5
13 2 9 10 6
13 1 22 19 9
13 2 11 12 10
12 2 12 16 5
9 2 5 2 2
16 1 15 20 8
10 2 7 8 3
18 2 13 11 6
9 2 3 3 3
13 2 13 10 5
14 1 2 3 2
13 2 13 14 7
13 2 11 12 4
13 2 9 11 8
16 2 11 14 8
12 2 7 7 6
16 2 13 11 7
12 2 4 3 4
18 2 11 11 6
16 2 21 26 13
18 2 18 18 8
12 2 19 19 11
13 2 17 18 5
12 2 7 7 9
12 2 11 6 6
18 2 10 16 10
16 2 21 23 11
12 2 10 12 8
18 2 20 24 14
13 2 9 8 6
16 1 13 16 5
12 2 6 5 1
16 1 21 17 11
16 1 10 12 8
16 1 10 9 6
16 2 8 7 6
12 2 18 16 7
16 1 6 7 6
13 2 5 6 3
16 1 13 17 3
14 2 18 10 6
12 2 20 17 7
18 2 21 25 8
18 2 23 22 9
13 2 6 11 6
11 2 4 8 6
13 2 10 14 5
13 2 10 11 7
16 2 10 11 8
18 1 20 22 9
12 2 7 4 4
13 2 11 9 4
18 2 8 8 5
13 2 18 17 6
12 2 5 5 11
12 1 7 7 2
16 2 10 6 6
13 2 9 15 7
18 2 2 9 4
12 2 14 12 6
12 2 8 8 7
16 2 22 18 8
12 1 11 7 8
14 2 9 7 7
13 2 11 8 4
11 2 9 3 5
12 2 6 7 6
16 2 7 9 7
18 2 15 16 12
13 2 9 11 4
12 2 14 12 11
16 2 14 14 10
13 2 14 11 4
16 2 20 19 5
12 2 19 23 9
13 2 13 12 6
14 2 20 21 6
12 2 7 10 8
18 2 14 16 12
13 2 15 14 2
16 1 9 19 6
12 2 14 10 8
12 2 8 10 3
12 2 21 22 13
12 2 8 12 6
13 2 17 18 10
16 1 10 15 4
12 2 9 10 7
18 1 16 15 6
18 1 11 13 9
13 2 9 7 5
13 2 10 9 6
13 2 8 7 3
14 2 12 10 6
16 1 16 23 8
18 2 16 8 7
10 2 5 4 2
12 2 19 13 8
13 1 13 17 8
13 2 11 14 7
18 2 20 21 8
13 2 15 17 7
10 2 4 6 5
16 1 14 18 8
13 2 4 6 6
13 2 12 11 4
18 2 11 11 6
18 2 18 18 9
12 2 9 13 7
17 1 17 20 6
17 1 13 6 5
18 1 16 24 13
12 2 12 14 7
12 2 13 11 9
8 2 3 3 1
17 2 17 17 9
6 1 1 4 4
16 1 13 11 8
14 2 8 5 3
20 2 11 11 10
11 2 4 1 2
12 2 8 4 4
16 2 11 17 9
12 1 14 14 3
12 2 21 25 10
14 2 14 10 10
13 1 13 13 5
17 2 16 19 9
17 2 14 19 7
18 1 12 14 10
9 2 5 4 2
13 1 7 12 4
12 2 7 7 10
12 2 13 11 7
12 1 12 9 8
16 1 12 12 6
18 2 6 9 7
12 2 5 8 7
16 2 11 13 5
13 2 8 8 5
18 2 8 8 7
13 2 18 17 9
17 2 21 21 13
18 1 13 11 6
13 2 15 12 7
13 1 8 6 4
11 2 9 11 6
13 2 1 7 5
14 1 12 7 5
12 1 14 17 10
13 2 16 19 6
13 2 20 22 8
12 2 3 3 6
8 2 4 5 3
13 1 5 8 6
12 2 10 12 5
13 2 4 3 1
12 2 12 8 5
17 1 12 14 6
12 2 10 10 7
13 2 17 14 7
10 2 3 0 2
13 2 6 3 4
13 2 15 13 10
12 2 10 14 9
18 2 18 19 8
13 2 11 14 8
17 1 9 3 5
12 2 7 7 4
12 2 18 22 11
20 2 17 20 8
16 2 18 20 11
13 2 18 10 6
13 2 5 2 4
13 1 10 12 7
8 2 11 11 3
12 2 7 8 7
12 2 7 2 3
18 2 14 15 7
14 2 5 3 4
11 2 4 1 1
13 2 8 10 5
12 2 3 2 5
18 2 16 16 6
10 1 7 7 4
17 1 16 18 12
16 2 5 5 5
13 2 5 4 0
16 1 7 7 4
13 2 8 13 4
12 2 12 13 2
13 2 4 8 7
13 2 10 15 5
13 1 14 21 10
13 1 5 7 4
13 2 11 16 3
16 2 9 15 8
13 2 5 11 3
13 2 9 9 6
12 2 9 5 5
16 2 12 16 8
12 2 10 10 5
13 2 14 18 9
12 2 7 12 6
12 2 14 15 5
16 1 11 10 6
17 2 12 13 5
20 2 7 11 6
12 2 13 15 4
16 2 9 11 5
13 2 14 13 5
12 2 7 6 3
12 1 13 13 13
17 2 9 7 6
12 1 4 8 3
12 2 9 13 5
18 2 25 21 11
13 2 13 16 9
18 2 14 12 8
18 1 8 11 6
18 2 17 20 10
17 1 18 21 9
18 2 13 14 9
9 2 2 2 3
12 1 18 17 12
13 1 13 15 6
13 2 9 13 6
13 2 20 21 8
18 1 16 15 9
18 2 12 13 8
16 1 10 13 6
13 2 15 13 7
12 1 3 8 4
8 2 4 4 4
13 2 8 8 4
13 2 10 10 7
12 2 7 9 5
10 2 3 2 1
12 2 9 16 11
11 2 5 1 5
16 1 19 9 9
13 2 23 21 11
17 1 11 9 9
16 2 7 13 6
16 2 12 12 7
12 1 5 5 4
13 2 6 9 4
16 2 5 6 6
16 1 14 16 9
17 1 19 23 10
12 2 21 25 12
11 2 9 2 7
16 2 18 19 10
13 2 12 15 7
18 1 5 3 5
17 1 13 16 7
20 1 20 20 9
18 2 11 14 12
13 1 12 11 8
11 2 8 10 10
10 2 6 12 3
16 2 17 18 10
18 2 19 23 10
13 2 10 7 3
12 2 19 19 9
12 2 1 2 2
12 2 9 10 10
13 2 12 9 4
13 2 13 13 7
17 2 16 17 8
10 2 2 2 2
8 1 4 2 6
13 2 4 4 10
14 2 5 7 3
18 1 15 21 7
13 2 15 16 8
18 2 23 23 9
12 2 11 8 2
12 2 15 20 6
13 1 18 15 8
18 2 14 11 7
13 2 6 6 5
13 2 12 13 12
13 2 20 12 7
12 2 10 12 5
18 1 14 11 6
6 2 15 10 5
13 2 14 18 8
13 2 9 9 6
18 1 18 20 8
18 2 8 14 6
14 2 14 11 9
13 2 13 14 9
16 2 13 18 10
12 2 11 15 8
20 1 8 9 7
12 2 9 7 5
16 2 19 18 11
13 2 10 15 14
12 2 3 1 1
13 1 14 19 12
12 2 8 6 7
18 2 18 21 11
9 2 6 4 7
14 2 21 15 10
14 2 11 11 9
14 2 21 22 9
8 2 8 3 5
10 2 4 6 5
12 2 7 8 7
13 2 8 8 6
9 2 9 8 5
13 1 13 10 7
13 2 13 8 3
13 2 21 17 11
17 1 12 21 11
16 2 10 12 6
10 1 4 3 2
16 2 14 12 11
17 2 14 17 6
18 2 14 15 11
12 2 11 12 4
12 2 10 5 7
13 2 7 9 5
13 2 11 13 3
10 2 9 9 3
12 2 10 14 5
13 2 2 5 1
12 1 8 13 5
9 1 11 16 5
18 2 13 11 8
13 2 17 18 6
12 2 11 10 12
17 1 15 17 7
18 1 18 15 9
17 2 9 7 7
12 2 4 8 2
18 2 20 22 11
12 2 9 14 5
11 2 4 3 2
12 2 7 5 3
18 2 6 8 5
13 2 11 11 4
16 1 12 11 9
12 2 6 7 7
12 2 3 3 4
14 1 7 4 4
12 2 6 7 2
12 2 10 10 9
16 2 21 23 14
16 1 10 11 5
12 2 8 10 5
16 2 9 5 5
18 2 19 22 12
13 2 13 20 6
13 1 4 5 5
16 2 11 12 7
16 2 14 18 6
13 2 3 6 6
12 2 10 9 3
12 2 9 14 10
13 2 7 9 3
13 2 9 22 10
16 2 12 12 6
14 2 10 12 7
13 2 9 8 3
16 2 10 12 7
12 2 7 3 2
13 2 12 7 5
18 2 18 30 12
14 2 11 20 12
12 2 2 1 1
20 1 20 23 9
13 2 12 10 4
20 1 17 18 9
16 1 11 11 3
12 2 13 12 5
18 1 20 23 13
12 2 12 10 8
16 1 20 21 12
13 2 12 15 8
18 2 10 18 9
12 2 10 6 7
12 2 10 20 5
10 1 3 2 3
7 1 6 10 6
8 2 6 3 4
16 2 17 21 8
18 2 13 11 8
12 2 11 10 9
13 2 15 20 7
13 1 18 19 7
20 1 7 8 6
13 2 12 10 8
12 2 8 5 7
16 2 12 10 7
13 2 13 14 7
13 2 8 10 6
12 2 12 15 7
12 2 9 12 2
13 2 12 15 6
16 1 10 17 7
14 2 14 19 7
13 2 14 5 9
16 2 7 7 5
13 2 10 10 7
14 2 10 11 2
16 2 13 10 9
13 1 14 20 11
12 2 10 20 11
13 2 15 19 7
12 2 4 5 1
13 2 7 9 9
13 2 5 8 8
13 2 17 21 8
12 2 11 14 12
13 2 9 13 8
12 2 8 10 4
13 1 10 10 9
12 2 21 21 8
13 2 13 13 5
10 2 7 7 3
13 2 4 6 1
13 2 4 2 5
13 2 12 13 8
13 1 18 14 4
14 2 10 12 4
13 2 9 9 6
13 2 28 24 9
13 2 16 11 3
16 1 13 18 7
14 1 12 11 11
17 1 20 19 11
16 1 9 13 9
20 1 2 8 7
20 1 12 10 7
17 1 23 27 15
12 2 7 12 6
16 2 14 16 6
12 2 6 5 3
14 2 9 7 3
12 2 2 3 4
12 2 9 10 5
18 1 16 17 11
18 2 14 13 7
13 1 14 18 7
12 1 13 13 5
13 1 4 11 7
12 1 3 9 5
16 1 12 15 10
7 2 6 11 3
14 2 7 11 7
16 1 3 6 8
12 2 16 14 5
16 1 15 19 9
11 1 3 4 5
18 2 14 23 10
12 2 16 18 12
12 2 7 5 3
18 2 11 12 7
13 2 19 12 9
12 2 9 15 5
12 1 2 4 5
16 2 12 12 8
13 2 19 22 6
13 1 7 9 7
17 1 12 21 10
12 2 8 6 4
12 2 9 10 8
13 2 12 11 10
12 2 3 2 6
13 2 13 11 8
12 2 3 4 5
14 1 9 7 4
12 2 14 11 4
13 2 10 10 6
13 2 17 18 9
11 2 9 9 7
12 2 14 11 4
12 2 10 11 4
12 2 8 7 4
13 1 8 9 6
12 2 12 12 10
12 2 7 6 3
12 1 11 9 6
12 2 8 9 6
18 2 25 25 13
12 2 11 11 4
13 2 12 19 5
16 2 16 13 6
14 2 4 11 7
13 2 13 13 10
8 2 3 2 4
13 2 13 19 10
13 2 13 16 6
12 2 10 9 10
13 1 13 14 6
18 2 18 13 9
13 2 5 13 9
10 2 2 1 4
16 2 14 17 5
9 1 12 7 7
13 2 21 17 10
18 2 4 4 3
13 2 9 8 5
13 2 17 15 12
16 2 14 12 8
13 2 15 17 11
12 2 23 20 7
13 2 8 8 3
10 2 10 15 8
9 2 7 4 2
12 2 9 7 5
12 1 15 11 6
13 2 2 3 6
13 2 10 10 7
16 1 10 11 7
16 2 12 16 7
18 2 13 10 10
12 2 8 8 3
12 2 5 6 4
13 1 13 11 7
16 1 12 16 11
12 2 8 9 0
16 2 10 8 7
13 2 8 8 4
12 2 15 19 7
13 2 6 9 3
10 1 11 11 6
13 2 11 10 5
11 1 2 0 1
13 2 18 21 11
12 2 12 10 5
13 2 7 12 6
13 2 15 21 7
13 2 11 13 3
12 2 10 14 7
18 2 8 9 2
13 2 12 13 10
13 1 7 6 4
13 2 9 15 6
9 2 7 7 5
18 1 12 14 11
18 2 29 24 14
12 2 7 7 8
12 2 17 13 11
12 2 8 10 4
8 2 4 1 4
12 2 7 13 6
18 2 12 15 8
18 2 21 20 12
13 2 2 4 7
20 1 19 19 8
13 2 13 14 6
13 2 12 14 6
20 1 8 12 6
11 1 10 9 10
12 1 11 8 5
12 2 16 14 10
18 1 7 9 5
16 1 19 22 9
13 2 6 11 4
13 2 5 6 4
14 2 7 4 5
10 2 11 11 5
13 2 3 3 3
12 2 10 15 6
20 2 15 12 10
13 2 13 10 6
11 2 13 14 8
16 1 17 11 8
18 2 13 16 8
12 1 13 10 6
12 2 15 18 6
20 2 14 15 10
18 2 9 8 7
16 1 11 12 5
18 1 18 19 8
13 2 9 8 3
12 1 9 12 3
18 1 13 14 11
10 2 4 6 1
17 2 12 18 8
16 1 18 19 7
12 2 7 12 6
14 2 7 11 4
12 2 5 8 3
13 1 13 9 6
18 2 14 12 10
13 2 5 5 2
13 2 6 5 3
12 2 4 3 7
13 2 6 8 8
14 2 9 3 7
13 2 10 9 2
18 2 9 9 5
18 1 5 17 8
10 2 12 11 1
13 2 11 12 6
18 2 20 23 12
14 2 10 6 9
18 1 7 12 9
11 2 3 2 3
12 2 7 10 4
13 2 10 5 5
13 2 19 17 10
13 2 15 19 10
16 2 11 11 6
13 2 5 3 5
13 2 18 18 8
18 2 12 12 6
16 2 14 13 8
14 2 11 13 4
12 2 11 8 4
12 2 13 18 8
16 1 3 3 1
13 2 7 8 7
12 2 16 15 10
12 2 9 6 5
12 2 9 4 2
18 2 10 8 5
16 2 18 21 6
18 1 14 11 9
11 2 3 4 5
12 2 5 6 3
18 1 11 16 7
14 2 19 21 8
16 1 10 12 10
12 2 13 19 7
14 2 17 18 5
8 2 4 3 4
13 2 10 10 6
14 2 10 8 5
12 2 12 13 6
16 2 17 10 9
12 2 8 10 6
18 2 8 10 10
13 2 9 5 5
12 1 12 12 6
13 2 12 13 7
18 2 21 21 9
12 2 11 11 8
12 2 5 3 5
13 2 12 12 10
12 1 7 7 6
16 2 5 3 4
17 2 12 16 9
18 2 25 24 7
12 2 11 7 5
13 2 12 16 9
13 1 14 14 7
13 2 7 7 6
18 2 22 17 13
12 2 4 6 7
12 2 3 4 2
13 2 7 6 3
13 2 11 15 5
12 2 8 6 6
12 2 8 5 3
12 2 12 9 7
12 2 8 5 4
18 1 12 17 7
16 2 13 12 7
11 2 3 7 7
13 2 5 5 2
12 2 8 6 5
13 2 8 13 2
13 2 4 6 4
12 2 7 4 3
12 2 10 6 4
12 2 23 25 14
16 1 13 17 10
12 2 5 9 3
13 2 8 8 8
13 2 11 14 7
13 2 10 16 8
16 1 9 9 6
16 2 9 7 4
12 2 9 8 4
8 2 4 5 5
12 2 12 14 4
16 1 14 16 9
17 1 5 6 5
12 2 8 9 4
14 2 3 2 2
12 2 10 8 3
13 2 19 19 11
12 2 17 20 6
16 2 21 18 7
16 1 13 11 3
18 2 17 20 7
12 1 4 9 4
12 2 17 18 11
13 2 9 19 8
13 2 8 13 11
12 1 11 8 3
14 1 8 6 5
14 2 10 9 6
16 1 13 14 10
17 1 14 15 6
12 2 13 21 7
16 2 15 17 10
13 2 24 19 5
18 2 14 15 8
14 2 14 12 5
11 2 13 10 7
12 2 12 13 9
12 1 7 4 6
12 2 9 8 4
16 2 25 25 12
13 1 8 11 7
16 1 13 12 8
12 2 6 7 5
12 1 11 12 6
12 1 3 2 1
18 2 12 12 6
13 1 13 13 5
18 2 23 22 7
13 2 6 9 3
18 2 9 10 2
12 1 4 3 3
13 2 7 10 5
12 2 13 10 6
12 2 11 12 8
12 2 9 13 10
12 1 19 21 9
13 1 4 8 5
12 2 7 5 4
12 2 9 11 6
16 1 8 8 6
18 1 12 17 11
16 1 10 10 5
13 1 18 15 10
18 2 14 20 9
12 2 5 2 6
13 2 12 10 5
18 2 15 17 9
13 1 8 13 5
12 1 3 2 2
18 1 14 17 8
13 2 3 4 5
16 1 30 30 11
18 2 15 18 5
18 2 10 9 8
12 2 5 3 5
13 2 9 11 4
13 2 13 14 4
16 1 13 15 11
12 2 11 13 8
10 2 8 10 5
17 2 16 18 11
7 2 3 2 2
18 2 12 19 9
11 1 7 11 4
13 1 14 11 8
13 1 10 14 7
18 2 12 17 6
12 2 13 10 3
16 1 23 22 12
16 1 21 21 13
16 2 13 20 10
12 1 19 18 5
12 2 3 2 4
16 2 11 10 10
12 2 13 14 7
12 2 12 13 5
18 1 11 14 10
13 1 8 6 7
12 1 12 7 7
12 2 15 8 3
8 2 12 15 7
13 2 15 17 9
12 2 8 7 5
13 1 11 11 4
13 2 14 13 8
12 2 2 2 1
18 2 11 9 8
14 1 8 6 5
13 2 10 6 5
12 2 8 8 6
11 2 4 5 1
18 2 6 6 3
13 2 16 18 7
13 1 5 4 6
13 2 8 7 6
12 2 17 21 5
16 1 11 14 8
12 2 8 6 3
16 2 11 20 7
20 1 19 18 12
12 2 13 9 6
13 2 7 12 7
12 2 17 14 7
12 2 14 16 9
16 2 5 10 5
12 2 11 17 11
13 2 14 11 11
17 1 11 11 7
13 2 7 6 8
13 2 6 6 4
20 2 13 12 10
12 2 9 11 5
18 2 16 15 9
13 2 8 7 5
13 2 6 8 6
17 2 10 9 6
8 2 6 2 5
16 2 15 18 8
12 2 14 14 9
13 2 11 11 6
18 2 12 12 9
12 1 13 13 7
12 2 5 9 6
12 2 2 2 6
12 2 9 8 7
13 2 7 6 2
16 1 18 11 7
20 2 20 22 11
20 2 13 12 10
12 2 9 13 4
18 1 9 8 4
12 2 16 13 10
12 2 14 14 8
13 2 14 20 6
17 1 12 19 5
13 2 5 2 3
